gene	RVIS
ADNP2	-1.5
SLIT2	-2.18
ADCY3	-2.17
DDX46	-1.11
HERC4	-1.09
ARID5B	-1.04
PPFIA2	-1.04
SYNGAP1	-1.15
DGCR8	-1.0
TNRC6B	-1.81
TRIM3	-1.2
CDH6	-1.31
PTPRU	-1.78
RIPK1	-1.35
LRRK1	-1.61
TMEM108	-1.4
DHX9	-1.16
TLE3	-1.02
FOXK1	-1.11
FNDC3A	-1.55
EPHB4	-1.5
ROCK2	-1.02
NCKAP1	-1.2
EZR	-1.2
NLRP3	-0.95
UBE3C	-1.06
CBFA2T3	-1.02
PHF20L1	-1.37
DMXL2	-1.88
ADRBK1	-1.16
MIDN	-1.26
PDE3A	-1.1
DIP2A	-2.78
MAP1B	-2.22
CAND1	-1.04
RGL1	-1.0
ATP9A	-1.64
ATP1A1	-1.0
XPO7	-1.02
KLHL22	-1.2
SIN3B	-1.37
FBXO18	-2.03
MAP3K10	-1.13
PAX7	-1.11
WNT7B	-1.09
CTIF	-1.11
PTPN23	-1.33
PTPRT	-1.03
NR4A1	-1.24
ZNF536	-1.57
TNPO2	-0.93
THSD7A	-1.31
GRIK2	-1.13
CACNA1D	-3.51
UPF1	-1.53
WDR7	-2.3
SH3PXD2A	-1.83
UBE4A	-1.09
SPNS2	-0.98
NOS1	-1.01
SART1	-0.95
PRPF31	-1.09
TSHZ2	-0.92
PRKCD	-1.04
PPP1R12C	-1.04
SMOX	-1.15
C20orf112	-1.05
SRL	-1.07
SLC1A2	-1.29
SYMPK	-1.48
ABLIM3	-1.15
ITGB1	-1.18
RBM15B	-1.18
CSE1L	-1.02
NCAN	-1.74
PRICKLE2	-1.11
GATAD2A	-0.95
SCUBE1	-1.45
RUNX1T1	-1.0
LMNB2	-1.13
EIF3A	-0.88
BSG	-1.04
AFF2	-1.08
IGSF8	-1.37
ASTN2	-2.27
NCDN	-0.98
TRABD	-1.18
INPPL1	-1.63
ZFC3H1	-1.83
BCL9	-1.63
ZEB2	-0.91
EXT1	-1.13
LARP4B	-1.06
TNFRSF21	-1.0
WWC1	-1.83
AKT1	-1.0
SLC8A2	-1.0
ZBTB2	-1.0
COL5A2	-0.87
SMARCA5	-0.98
GPR162	-0.97
SLC4A2	-1.77
SAFB2	-0.93
VANGL2	-1.02
ELAC2	-0.91
DDX42	-1.0
GRAMD4	-1.07
GRID1	-2.1
SPIRE1	-1.11
JARID2	-1.74
FMNL1	-1.06
SCAF8	-0.95
DCC	-1.36
ALOX5	-0.95
GAPVD1	-0.86
MTA2	-1.02
CNNM2	-0.98
ATP2B3	-1.68
NLGN4X	-0.84
CACNA1I	-0.83
KIRREL3	-1.39
PCSK2	-1.11
TAB2	-1.11
ZHX2	-1.1
ZER1	-0.98
NLGN2	-1.02
SPHKAP	-0.8
DEAF1	-0.89
CIT	-2.35
SNRNP200	-2.34
CARM1	-1.0
AP2B1	-0.96
CHRM4	-0.96
CYLD	-0.93
NF2	-0.87
RFX2	-0.86
ZNF638	-1.6
ATP2A2	-1.6
STAG1	-1.04
NYAP1	-1.24
KCNJ4	-0.89
SBNO2	-2.27
EPHB2	-1.46
TRAPPC10	-1.59
ANKRD13D	-0.98
PCDH1	-1.08
SMPD3	-0.91
MYO9B	-0.86
COPB1	-1.11
LTBP3	-0.93
IPO5	-0.91
ZBTB46	-0.86
PHF3	-0.8
SBNO1	-0.82
NPR2	-1.04
DMXL1	-0.82
MECP2	-0.89
GLG1	-1.68
MDGA2	-1.02
SETD3	-0.93
SEZ6L	-2.03
DNAJB1	-1.07
POGZ	-1.53
OSBPL7	-0.84
PDE10A	-0.98
TSSC1	-0.96
RAPGEF2	-1.66
MYT1	-1.63
ATP2B1	-1.02
FIGN	-1.02
PAPD7	-1.0
TKTL1	-0.91
SATB2	-0.87
PABPC4	-0.91
SRPK2	-1.22
COPA	-0.98
WDR37	-0.91
EIF4ENIF1	-0.97
EXTL3	-1.79
MAP3K3	-1.07
KLC2	-0.93
SP1	-0.93
GPS1	-0.89
XPO5	-0.82
SETBP1	-1.12
NAA15	-0.89
MAP2	-1.31
SLC4A1	-0.79
PHEX	-1.13
IQSEC3	-0.84
ITPR1	-3.35
ARFGEF1	-1.75
RASGRF1	-1.41
HSPA8	-0.82
EPHA7	-0.86
OTUD7B	-1.09
RNF111	-0.93
ARHGEF17	-0.75
ATXN2L	-1.73
NUP98	-1.29
EVI5L	-0.82
SETD5	-0.79
DLGAP3	-0.87
PCDH19	-0.89
APBA2	-1.39
ROBO2	-1.5
SRRM1	-0.93
MCAM	-0.86
CLSTN3	-1.65
SLC41A1	-0.98
HGS	-1.5
ACSL1	-0.84
ZNF862	-1.27
KLHL6	-0.91
FURIN	-0.79
SCNN1G	-0.95
SDK2	-2.47
UPF2	-0.89
ASAP1	-1.24
SIPA1L3	-1.61
BAG6	-1.39
PHF2	-1.03
TLR9	-1.61
P4HB	-0.84
SAP130	-1.62
ATN1	-0.95
TNRC6A	-1.02
ITGB2	-1.03
XPO1	-0.85
PCDH17	-1.24
POLA1	-0.8
MON1B	-0.91
SOX5	-0.96
AP3D1	-2.28
ASTN1	-1.1
MGAT5	-1.27
CDH7	-0.89
DPP9	-0.8
RPRD2	-0.8
SUPT5H	-1.42
FLI1	-0.89
KLHL18	-0.89
DHX15	-0.82
ADNP	-1.41
TFDP1	-1.02
USP32	-2.08
SOS2	-0.93
EPHA4	-1.4
ITGA5	-0.86
MFHAS1	-1.19
GPRC5B	-0.82
RASAL2	-2.1
FZD1	-0.91
U2SURP	-0.91
PACS2	-0.73
SLC2A1	-1.05
CCT4	-0.98
REXO1	-1.36
DOCK9	-2.78
RELB	-1.0
FAM171B	-1.09
FSD1	-0.89
TRIM46	-0.84
CAMSAP1	-2.65
GNAZ	-0.85
GPATCH8	-0.74
PHLDB1	-1.85
U2AF2	-0.91
PSEN2	-1.02
ANKHD1-EIF4EBP3	-2.53
TAF5L	-1.06
SLC25A6	-0.89
DLG2	-1.6
GRM4	-2.48
GRID2	-0.84
YEATS2	-1.08
CCDC88A	-1.57
KIAA0930	-0.98
PTCHD1	-1.0
KIAA2022	-0.77
GABBR2	-1.29
NOTCH3	-1.29
ALG13	-1.0
PDZRN3	-0.99
SLC6A3	-1.53
SLITRK1	-0.85
RSBN1L	-0.82
IKBKB	-0.75
IQSEC1	-1.26
ZNF827	-2.17
RFX3	-0.8
ANKS1A	-1.25
RAD54L2	-1.39
JUP	-1.66
TANC1	-1.26
KALRN	-3.65
NOS3	-1.1
HIVEP2	-2.2
INO80	-1.1
FGFR1	-1.35
MARK4	-0.98
LRRC4C	-0.8
PRKD2	-0.73
LRFN5	-0.87
EGR1	-0.85
SMC3	-0.89
ZNF507	-1.15
COL1A2	-1.14
SORCS1	-1.14
ZC3H4	-1.32
SAMD4B	-0.91
TBL1X	-0.82
KIF1A	-3.67
DTX1	-0.89
FCHSD2	-0.89
GRM7	-1.62
PUM2	-0.84
ERBB4	-1.97
FUS	-1.0
ANKS1B	-1.22
SIRPA	-0.78
PRKG1	-0.8
ANPEP	-0.98
EHD4	-0.75
ARNT2	-0.84
ACTN4	-0.71
EIF3G	-0.85
HNF4A	-0.96
ACVR2B	-0.78
NFKB2	-0.78
SOCS6	-1.02
BAHD1	-0.93
